"Delay","Immediate","phase"
60.1,60.1,"Baseline"
60.1,60.1,"Baseline"
60.1,60.1,"Baseline"
60.1,60.1,"Baseline"
60.1000000000001,60.1,"Baseline"
60.1000000000001,60.1,"Baseline"
60.1000000000004,60.1,"Baseline"
60.1999999999998,60.1,"Baseline"
60.1999999999998,60.1000000000004,"Baseline"
60.1999999999998,60.1000000000004,"Baseline"
60.1999999999998,60.1000000000004,"Baseline"
60.1999999999998,60.1999999999998,"Baseline"
60.1999999999999,60.1999999999998,"Baseline"
60.1999999999999,60.1999999999999,"Baseline"
60.1999999999999,60.2,"Baseline"
60.1999999999999,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2,"Baseline"
60.2,60.2000000000003,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.2999999999997,60.2999999999997,"Baseline"
60.3,60.2999999999997,"Baseline"
60.3,60.3,"Baseline"
60.3,60.3,"Baseline"
60.3,60.3,"Baseline"
60.3,60.3,"Baseline"
60.3000000000001,60.3,"Baseline"
60.3000000000001,60.3,"Baseline"
60.3000000000002,60.3,"Baseline"
60.3000000000002,60.3,"Baseline"
60.3000000000002,60.3,"Baseline"
60.3000000000002,60.3,"Baseline"
60.3000000000002,60.3000000000001,"Baseline"
60.3000000000002,60.3000000000002,"Baseline"
60.3000000000002,60.3999999999996,"Baseline"
60.3000000000002,60.4,"Baseline"
60.3999999999999,60.4,"Baseline"
60.3999999999999,60.4,"Baseline"
60.4,60.4,"Baseline"
60.4,60.4,"Baseline"
60.4000000000001,60.4,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.4000000000001,"Baseline"
60.4000000000001,60.5,"Baseline"
60.4000000000001,60.5,"Baseline"
60.5,60.5,"Baseline"
60.5,60.5,"Baseline"
60.5,60.5,"Baseline"
60.5,60.5,"Baseline"
60.5,60.5999999999999,"Baseline"
60.5,60.5999999999999,"Baseline"
60.5999999999999,60.6,"Baseline"
60.5999999999999,60.6,"Baseline"
60.5999999999999,60.6000000000001,"Baseline"
60.6,60.6000000000001,"Baseline"
60.6,60.6000000000004,"Baseline"
60.6,60.6999999999998,"Baseline"
60.6000000000001,60.6999999999998,"Baseline"
60.6999999999998,60.7,"Baseline"
60.6999999999998,60.8,"Baseline"
60.6999999999998,60.8,"Baseline"
60.6999999999998,60.8,"Baseline"
60.6999999999998,60.8,"Baseline"
60.7,60.8,"Baseline"
60.7,60.9,"Baseline"
60.7,60.9,"Baseline"
60.7,60.9000000000001,"Baseline"
60.7,60.9000000000001,"Baseline"
60.7,60.9000000000001,"Baseline"
60.7000000000003,61,"Baseline"
60.7000000000003,61,"Baseline"
60.8,61,"Baseline"
60.8,61,"Baseline"
60.8000000000001,61,"Baseline"
60.8000000000002,61,"Baseline"
60.8999999999996,61,"Baseline"
60.8999999999996,61.0999999999999,"Baseline"
60.8999999999999,61.1,"Baseline"
60.9000000000001,61.1,"Baseline"
60.9000000000001,61.1999999999998,"Baseline"
60.9000000000001,61.1999999999998,"Baseline"
61,61.1999999999998,"Baseline"
61,61.2,"Baseline"
61,61.2,"Baseline"
61,61.2,"Baseline"
61,61.2,"Baseline"
61.0999999999999,61.2999999999997,"Baseline"
61.0999999999999,61.3,"Baseline"
61.1000000000001,61.3,"Baseline"
61.1999999999998,61.3000000000002,"Baseline"
61.2,61.3000000000002,"Baseline"
61.2,61.3000000000002,"Baseline"
61.2,61.3999999999999,"Baseline"
61.2,61.4,"Baseline"
61.2,61.5,"Baseline"
61.2999999999997,61.5999999999999,"Baseline"
61.3000000000001,61.6,"Baseline"
61.3000000000002,61.6000000000001,"Baseline"
61.3999999999999,61.6000000000004,"Baseline"
61.4,61.6000000000004,"Baseline"
61.5,61.6999999999998,"Baseline"
61.5,61.6999999999998,"Baseline"
61.5,61.6999999999998,"Baseline"
61.5,61.6999999999999,"Baseline"
61.5,61.8,"Baseline"
61.5,61.8,"Baseline"
61.6,61.8000000000002,"Baseline"
61.6000000000004,61.8999999999999,"Baseline"
61.6999999999999,61.9,"Baseline"
61.7,61.9,"Baseline"
61.7000000000003,61.9000000000001,"Baseline"
61.7999999999997,61.9000000000001,"Baseline"
61.8,62,"Baseline"
61.8,62.0999999999999,"Baseline"
61.8000000000002,62.1,"Baseline"
61.8000000000002,62.1,"Baseline"
61.9000000000001,62.3,"Baseline"
62,62.3000000000002,"Baseline"
62,62.5,"Baseline"
62,62.6,"Baseline"
62,62.8,"Baseline"
62,62.9,"Baseline"
62.0999999999999,62.9000000000001,"Baseline"
62.1,63.0999999999999,"Baseline"
62.2,63.1999999999998,"Baseline"
62.2,63.1999999999998,"Baseline"
62.3000000000001,63.3,"Baseline"
62.4,63.3,"Baseline"
62.4000000000001,63.4000000000001,"Baseline"
62.5,63.5,"Baseline"
62.5,63.6,"Baseline"
62.5999999999999,63.7,"Baseline"
62.5999999999999,63.9,"Baseline"
62.6,63.9,"Baseline"
62.9,64.2,"Baseline"
62.9,64.2,"Baseline"
63.0999999999999,64.2000000000003,"Baseline"
63.1,64.5,"Baseline"
63.7,64.5,"Baseline"
63.7,64.6999999999999,"Baseline"
63.8,64.7,"Baseline"
63.8000000000002,64.7000000000003,"Baseline"
63.9,65.0999999999999,"Baseline"
64.0999999999999,65.1,"Baseline"
64.5,65.3999999999996,"Baseline"
64.9000000000001,65.5,"Baseline"
65.7000000000003,65.5999999999999,"Baseline"
66.1,65.8,"Baseline"
66.3000000000001,66.7999999999997,"Baseline"
67,67.8,"Baseline"
67,68.0999999999999,"Baseline"
67.3000000000002,68.4,"Baseline"
67.4,69.1,"Baseline"
67.4,69.4000000000001,"Baseline"
67.5,69.4000000000001,"Baseline"
69.2,69.9999999999995,"Baseline"
70.9000000000001,70.8000000000001,"Baseline"
73.1,71.5,"Baseline"
74.5,72.1999999999998,"Baseline"
76.7,72.3000000000002,"Baseline"
77.3999999999999,73.1999999999998,"Baseline"
77.4,73.3000000000002,"Baseline"
77.5,73.5999999999999,"Baseline"
78.5,73.7,"Baseline"
78.6000000000004,76,"Baseline"
79.8,79.3000000000002,"Baseline"
84.4000000000001,83.2,"Baseline"
88.0999999999999,86.9,"Baseline"
60.1000000000004,60.7,"Experimental"
60.1999999999998,61.5,"Experimental"
60.2,61.5,"Experimental"
60.2,61.6,"Experimental"
60.2,61.7,"Experimental"
60.2,61.9999999999998,"Experimental"
60.2999999999997,62.3,"Experimental"
60.4,62.3,"Experimental"
60.4000000000001,62.3000000000002,"Experimental"
60.4000000000001,62.5,"Experimental"
60.5,62.5999999999999,"Experimental"
60.5,62.7000000000003,"Experimental"
60.5,62.8,"Experimental"
60.5,62.8,"Experimental"
60.5,62.8000000000002,"Experimental"
60.5,62.9,"Experimental"
60.7,63,"Experimental"
60.7,63,"Experimental"
60.7000000000003,63.0999999999999,"Experimental"
60.7999999999997,63.1000000000001,"Experimental"
60.8,63.2,"Experimental"
60.8999999999996,63.2,"Experimental"
60.8999999999999,63.2,"Experimental"
60.9,63.3999999999999,"Experimental"
60.9000000000001,63.6,"Experimental"
61,63.6,"Experimental"
61.0999999999999,63.7000000000003,"Experimental"
61.0999999999999,63.8000000000002,"Experimental"
61.1000000000004,63.8999999999999,"Experimental"
61.1999999999998,63.9000000000001,"Experimental"
61.2,64,"Experimental"
61.2000000000003,64.0999999999999,"Experimental"
61.2999999999997,64.1,"Experimental"
61.2999999999997,64.2,"Experimental"
61.3000000000002,64.4,"Experimental"
61.4,64.4000000000001,"Experimental"
61.5,64.5,"Experimental"
61.5,64.5,"Experimental"
61.6,64.5999999999999,"Experimental"
61.6,64.5999999999999,"Experimental"
61.6000000000004,64.8000000000002,"Experimental"
61.6999999999999,64.9,"Experimental"
61.9000000000001,65,"Experimental"
62,65.1,"Experimental"
62,65.2,"Experimental"
62.0999999999999,65.3,"Experimental"
62.1,65.3,"Experimental"
62.1,65.4999999999999,"Experimental"
62.1999999999998,65.5,"Experimental"
62.2,65.5999999999999,"Experimental"
62.2,65.6,"Experimental"
62.3000000000002,65.7,"Experimental"
62.4000000000001,66.1000000000001,"Experimental"
62.4000000000001,66.5,"Experimental"
62.4000000000001,67.0999999999999,"Experimental"
62.5,67.0999999999999,"Experimental"
62.5,67.1,"Experimental"
62.5999999999999,67.1999999999998,"Experimental"
62.6000000000001,67.2,"Experimental"
62.6999999999998,67.3,"Experimental"
62.8000000000002,67.3000000000002,"Experimental"
62.9000000000001,67.3000000000002,"Experimental"
63,67.3999999999996,"Experimental"
63.1000000000001,67.4000000000001,"Experimental"
63.1000000000001,67.4000000000001,"Experimental"
63.1999999999998,67.7,"Experimental"
63.2000000000003,67.8999999999999,"Experimental"
63.3000000000002,68.0999999999999,"Experimental"
63.5999999999999,68.1000000000001,"Experimental"
63.6,68.2999999999997,"Experimental"
63.9,68.3,"Experimental"
63.9,68.3,"Experimental"
63.9000000000001,68.5,"Experimental"
64.3,68.5999999999999,"Experimental"
64.3,68.6999999999998,"Experimental"
64.3000000000002,68.7,"Experimental"
64.4000000000001,68.7,"Experimental"
64.5,68.7,"Experimental"
64.5999999999999,68.8000000000002,"Experimental"
64.5999999999999,68.9000000000001,"Experimental"
64.7,69,"Experimental"
64.8,69,"Experimental"
64.9,69,"Experimental"
65,69.1,"Experimental"
65.0999999999999,69.2,"Experimental"
65.3000000000002,69.2,"Experimental"
65.4000000000001,69.3000000000002,"Experimental"
65.5,69.4000000000001,"Experimental"
65.7999999999997,69.5,"Experimental"
65.9000000000001,69.6999999999998,"Experimental"
66,69.8,"Experimental"
66,69.8999999999999,"Experimental"
66,70.1999999999998,"Experimental"
66.0999999999999,70.2,"Experimental"
66.2,70.3,"Experimental"
66.3,70.4000000000001,"Experimental"
66.6999999999998,70.5,"Experimental"
66.6999999999998,70.5,"Experimental"
66.7,70.5,"Experimental"
67.3,70.7,"Experimental"
67.4000000000001,70.8,"Experimental"
67.5,70.9000000000001,"Experimental"
67.5999999999999,71.5999999999999,"Experimental"
67.6,71.5999999999999,"Experimental"
67.7,71.8000000000002,"Experimental"
67.7,71.8000000000002,"Experimental"
67.7999999999997,72,"Experimental"
68.1,72.0999999999999,"Experimental"
68.1999999999998,72.1999999999999,"Experimental"
68.3,72.2,"Experimental"
68.5,72.5,"Experimental"
68.5,72.5000000000001,"Experimental"
68.6000000000001,72.7,"Experimental"
68.6999999999998,72.8,"Experimental"
68.6999999999998,73,"Experimental"
68.7999999999993,73.1999999999998,"Experimental"
69.3999999999996,73.4000000000001,"Experimental"
69.5,73.4000000000001,"Experimental"
69.5,73.7,"Experimental"
69.9,73.7999999999997,"Experimental"
69.9000000000001,74.4,"Experimental"
70,74.4,"Experimental"
70.1,74.4000000000001,"Experimental"
70.1000000000001,74.6,"Experimental"
70.3000000000001,74.6000000000001,"Experimental"
70.4000000000001,75,"Experimental"
70.5,75.0999999999999,"Experimental"
70.6,75.3000000000001,"Experimental"
70.9000000000001,75.3999999999999,"Experimental"
71,75.6000000000001,"Experimental"
71.0999999999999,76.0999999999999,"Experimental"
71.1,76.2,"Experimental"
71.1999999999998,76.3,"Experimental"
71.5999999999999,76.3000000000002,"Experimental"
71.5999999999999,76.6,"Experimental"
71.5999999999999,77.1999999999999,"Experimental"
71.9000000000001,77.3,"Experimental"
72.5,77.5999999999999,"Experimental"
72.5,77.8,"Experimental"
72.5,78.0999999999999,"Experimental"
72.9000000000001,78.3,"Experimental"
72.9000000000001,78.5,"Experimental"
73,78.5999999999999,"Experimental"
73,78.6000000000004,"Experimental"
73.2000000000003,78.6999999999998,"Experimental"
73.3000000000002,78.7000000000003,"Experimental"
73.5,78.7000000000003,"Experimental"
74.2,78.7999999999997,"Experimental"
74.3999999999999,78.7999999999997,"Experimental"
74.5999999999999,78.8000000000002,"Experimental"
74.7,78.8999999999996,"Experimental"
74.8,78.8999999999996,"Experimental"
75.2,78.9000000000001,"Experimental"
75.3000000000002,78.9000000000001,"Experimental"
75.4000000000001,79,"Experimental"
75.5,79.0999999999999,"Experimental"
75.5999999999999,79.1000000000004,"Experimental"
76.5,79.4000000000001,"Experimental"
76.6999999999998,79.5,"Experimental"
77.5,79.5999999999999,"Experimental"
77.5999999999999,79.7999999999997,"Experimental"
78,79.8000000000002,"Experimental"
78.1999999999998,80,"Experimental"
78.3,80.2,"Experimental"
80.7,80.3,"Experimental"
81.6999999999998,80.9000000000001,"Experimental"
83,81.3999999999999,"Experimental"
83.7,81.9,"Experimental"
83.9,82.6000000000004,"Experimental"
84.5000000000001,82.6999999999998,"Experimental"
86,83.1,"Experimental"
86.1000000000001,83.9000000000001,"Experimental"
88.1,84,"Experimental"
88.5,84.4,"Experimental"
88.6,84.9000000000001,"Experimental"
